date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-08-22 00:00:00,30,18,0.0,13.3,6,98,07:36 PM,05:27 AM,05:37 AM,07:00 PM,15,24,24,22,8,83,79,0.5,1013,22,9,203,4,harrisonburg
2021-08-22 01:00:00,30,18,0.0,13.3,6,98,07:36 PM,05:27 AM,05:37 AM,07:00 PM,15,21,22,21,9,75,80,0.2,1013,21,10,223,4,harrisonburg
2021-08-22 02:00:00,30,18,0.0,13.3,6,98,07:36 PM,05:27 AM,05:37 AM,07:00 PM,15,20,20,20,10,67,81,0.2,1013,20,10,244,5,harrisonburg
2021-08-22 03:00:00,30,18,0.0,13.3,6,98,07:36 PM,05:27 AM,05:37 AM,07:00 PM,15,18,18,18,12,59,82,0.2,1014,18,10,264,5,harrisonburg
2021-08-22 04:00:00,30,18,0.0,13.3,6,98,07:36 PM,05:27 AM,05:37 AM,07:00 PM,15,18,18,18,10,45,81,0.1,1014,18,10,268,5,harrisonburg
2021-08-22 05:00:00,30,18,0.0,13.3,6,98,07:36 PM,05:27 AM,05:37 AM,07:00 PM,15,19,19,19,9,31,80,0.0,1014,19,10,272,4,harrisonburg
2021-08-22 06:00:00,30,18,0.0,13.3,6,98,07:36 PM,05:27 AM,05:37 AM,07:00 PM,15,19,19,19,8,17,80,0.0,1014,19,10,277,4,harrisonburg
2021-08-22 07:00:00,30,18,0.0,13.3,6,98,07:36 PM,05:27 AM,05:37 AM,07:00 PM,16,20,20,20,7,15,75,0.0,1014,20,10,252,4,harrisonburg
2021-08-22 08:00:00,30,18,0.0,13.3,6,98,07:36 PM,05:27 AM,05:37 AM,07:00 PM,16,22,22,22,6,12,70,0.0,1015,22,10,228,3,harrisonburg
2021-08-22 09:00:00,30,18,0.0,13.3,6,98,07:36 PM,05:27 AM,05:37 AM,07:00 PM,16,24,24,24,5,10,66,0.0,1015,24,10,203,3,harrisonburg
2021-08-22 10:00:00,30,18,0.0,13.3,6,98,07:36 PM,05:27 AM,05:37 AM,07:00 PM,16,26,26,26,4,14,58,0.0,1014,26,10,156,3,harrisonburg
2021-08-22 11:00:00,30,18,0.0,13.3,6,98,07:36 PM,05:27 AM,05:37 AM,07:00 PM,16,28,28,28,4,18,51,0.0,1014,28,10,109,3,harrisonburg
2021-08-22 12:00:00,30,18,0.0,13.3,6,98,07:36 PM,05:27 AM,05:37 AM,07:00 PM,16,30,30,30,3,22,44,0.0,1014,30,10,61,3,harrisonburg
2021-08-22 13:00:00,30,18,0.0,13.3,6,98,07:36 PM,05:27 AM,05:37 AM,07:00 PM,16,30,30,29,4,32,45,0.0,1014,29,10,101,3,harrisonburg
2021-08-22 14:00:00,30,18,0.0,13.3,6,98,07:36 PM,05:27 AM,05:37 AM,07:00 PM,16,30,30,29,5,41,46,0.0,1013,29,10,140,3,harrisonburg
2021-08-22 15:00:00,30,18,0.0,13.3,6,98,07:36 PM,05:27 AM,05:37 AM,07:00 PM,16,30,30,29,5,50,47,0.0,1013,29,10,180,4,harrisonburg
2021-08-22 16:00:00,30,18,0.0,13.3,6,98,07:36 PM,05:27 AM,05:37 AM,07:00 PM,16,28,28,28,6,56,52,0.0,1013,28,10,189,4,harrisonburg
2021-08-22 17:00:00,30,18,0.0,13.3,6,98,07:36 PM,05:27 AM,05:37 AM,07:00 PM,17,27,27,26,7,62,57,0.0,1013,26,10,198,4,harrisonburg
2021-08-22 18:00:00,30,18,0.0,13.3,6,98,07:36 PM,05:27 AM,05:37 AM,07:00 PM,17,26,26,25,8,67,62,0.0,1013,25,10,208,5,harrisonburg
2021-08-22 19:00:00,30,18,0.0,13.3,6,98,07:36 PM,05:27 AM,05:37 AM,07:00 PM,17,25,25,24,6,67,64,0.0,1014,24,10,157,4,harrisonburg
2021-08-22 20:00:00,30,18,0.0,13.3,6,98,07:36 PM,05:27 AM,05:37 AM,07:00 PM,17,25,25,23,5,67,66,0.0,1014,23,9,106,3,harrisonburg
2021-08-22 21:00:00,30,18,0.0,13.3,6,98,07:36 PM,05:27 AM,05:37 AM,07:00 PM,16,24,24,23,3,67,68,0.0,1014,23,9,56,1,harrisonburg
2021-08-22 22:00:00,30,18,0.0,13.3,6,98,07:36 PM,05:27 AM,05:37 AM,07:00 PM,16,22,23,22,5,57,70,0.0,1014,22,10,98,2,harrisonburg
2021-08-22 23:00:00,30,18,0.0,13.3,6,98,07:36 PM,05:27 AM,05:37 AM,07:00 PM,16,21,21,21,6,47,72,0.0,1014,21,10,140,3,harrisonburg
2021-08-23 00:00:00,32,19,0.0,13.2,7,100,08:05 PM,06:35 AM,05:37 AM,06:58 PM,16,20,20,20,8,37,74,0.0,1014,20,10,183,4,harrisonburg
2021-08-23 01:00:00,32,19,0.0,13.2,7,100,08:05 PM,06:35 AM,05:37 AM,06:58 PM,16,20,20,20,10,31,76,0.0,1014,20,10,201,5,harrisonburg
2021-08-23 02:00:00,32,19,0.0,13.2,7,100,08:05 PM,06:35 AM,05:37 AM,06:58 PM,16,20,20,20,11,24,78,0.0,1014,20,10,220,5,harrisonburg
2021-08-23 03:00:00,32,19,0.0,13.2,7,100,08:05 PM,06:35 AM,05:37 AM,06:58 PM,16,19,19,19,13,18,80,0.0,1014,19,10,239,6,harrisonburg
2021-08-23 04:00:00,32,19,0.0,13.2,7,100,08:05 PM,06:35 AM,05:37 AM,06:58 PM,15,19,19,19,12,17,78,0.0,1014,19,10,250,6,harrisonburg
2021-08-23 05:00:00,32,19,0.0,13.2,7,100,08:05 PM,06:35 AM,05:37 AM,06:58 PM,15,19,19,19,12,17,76,0.0,1014,19,10,260,5,harrisonburg
2021-08-23 06:00:00,32,19,0.0,13.2,7,100,08:05 PM,06:35 AM,05:37 AM,06:58 PM,15,20,20,20,11,17,75,0.0,1014,20,10,271,5,harrisonburg
2021-08-23 07:00:00,32,19,0.0,13.2,7,100,08:05 PM,06:35 AM,05:37 AM,06:58 PM,15,21,21,21,9,15,71,0.0,1015,21,10,248,4,harrisonburg
2021-08-23 08:00:00,32,19,0.0,13.2,7,100,08:05 PM,06:35 AM,05:37 AM,06:58 PM,16,23,23,22,7,14,67,0.0,1015,22,10,224,4,harrisonburg
2021-08-23 09:00:00,32,19,0.0,13.2,7,100,08:05 PM,06:35 AM,05:37 AM,06:58 PM,16,24,24,24,6,13,63,0.0,1015,24,10,201,3,harrisonburg
2021-08-23 10:00:00,32,19,0.0,13.2,7,100,08:05 PM,06:35 AM,05:37 AM,06:58 PM,16,26,26,26,6,13,56,0.0,1015,26,10,150,4,harrisonburg
2021-08-23 11:00:00,32,19,0.0,13.2,7,100,08:05 PM,06:35 AM,05:37 AM,06:58 PM,16,29,29,28,6,13,50,0.0,1015,28,10,99,4,harrisonburg
2021-08-23 12:00:00,32,19,0.0,13.2,7,100,08:05 PM,06:35 AM,05:37 AM,06:58 PM,16,31,31,30,5,14,43,0.0,1014,30,10,48,5,harrisonburg
2021-08-23 13:00:00,32,19,0.0,13.2,7,100,08:05 PM,06:35 AM,05:37 AM,06:58 PM,16,32,32,31,7,19,42,0.0,1014,31,10,82,6,harrisonburg
2021-08-23 14:00:00,32,19,0.0,13.2,7,100,08:05 PM,06:35 AM,05:37 AM,06:58 PM,16,32,32,31,9,24,40,0.0,1014,31,10,116,7,harrisonburg
2021-08-23 15:00:00,32,19,0.0,13.2,7,100,08:05 PM,06:35 AM,05:37 AM,06:58 PM,16,32,32,32,10,30,38,0.0,1013,32,10,150,8,harrisonburg
2021-08-23 16:00:00,32,19,0.0,13.2,7,100,08:05 PM,06:35 AM,05:37 AM,06:58 PM,16,31,31,31,12,39,42,0.0,1013,31,10,177,8,harrisonburg
2021-08-23 17:00:00,32,19,0.0,13.2,7,100,08:05 PM,06:35 AM,05:37 AM,06:58 PM,17,30,30,29,13,49,46,0.0,1013,29,10,205,8,harrisonburg
2021-08-23 18:00:00,32,19,0.0,13.2,7,100,08:05 PM,06:35 AM,05:37 AM,06:58 PM,17,29,29,28,14,58,50,0.0,1013,28,10,232,8,harrisonburg
2021-08-23 19:00:00,32,19,0.0,13.2,7,100,08:05 PM,06:35 AM,05:37 AM,06:58 PM,17,28,28,27,13,54,54,0.0,1014,27,10,229,7,harrisonburg
2021-08-23 20:00:00,32,19,0.0,13.2,7,100,08:05 PM,06:35 AM,05:37 AM,06:58 PM,17,27,27,26,11,50,58,0.0,1014,26,10,226,6,harrisonburg
2021-08-23 21:00:00,32,19,0.0,13.2,7,100,08:05 PM,06:35 AM,05:37 AM,06:58 PM,17,26,26,25,9,46,62,0.0,1014,25,10,223,4,harrisonburg
2021-08-23 22:00:00,32,19,0.0,13.2,7,100,08:05 PM,06:35 AM,05:37 AM,06:58 PM,17,24,24,23,10,37,70,0.0,1015,23,10,244,5,harrisonburg
2021-08-23 23:00:00,32,19,0.0,13.2,7,100,08:05 PM,06:35 AM,05:37 AM,06:58 PM,17,22,22,22,10,29,77,0.0,1015,22,10,264,5,harrisonburg
